cn_code,product_name,commodity_name,section_name,eudr_commodity
01,LIVE ANIMALS,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,
0101,"Live horses, asses, mules and hinnies",LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,
01012100,Pure-bred breeding animals,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,
010129,Other,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,
01012910,For slaughter,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,
01012990,Other,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,
01013000,Asses,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,
01019000,Other,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,
0102,Live bovine animals,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,
010221,Pure-bred breeding animals,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,Cattle
01022110,Heifers (female bovines that have never calved),LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,Cattle
01022130,Cows,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,Cattle
01022190,Other,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,Cattle
010229,Other,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,Cattle
01022905,Of the sub-genus Bibos or of the sub-genus Poephagus,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,Cattle
01022910,Of a weight not exceeding 80 kg,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,Cattle
01022921,For slaughter,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,Cattle
01022929,Other,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,Cattle
01022941,For slaughter,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,Cattle
01022949,Other,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,Cattle
01022951,For slaughter,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,Cattle
01022959,Other,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,Cattle
01022961,For slaughter,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,Cattle
01022969,Other,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,Cattle
01022991,For slaughter,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,Cattle
01022999,Other,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,Cattle
01023100,Pure-bred breeding animals,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,
010239,Other,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,
01023910,Domestic species,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,
01023990,Other,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,
010290,Other,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,
01029020,Pure-bred breeding animals,LIVE ANIMALS,LIVE ANIMALS; ANIMAL PRODUCTS,
